Time,F2#1,F2#0,F2#2,,
19:46:52:849,-1.39577317237854,3.06223011016846,0,,
19:46:52:851,-1.39577317237854,3.06223011016846,0,,
19:46:52:854,-0.837463915348053,3.06223011016846,0,,
19:46:52:856,-0.558309257030487,2.90105986595154,0,,
19:46:52:858,-0.0930515453219414,3.06223011016846,0,,
19:46:52:860,0.651360809803009,2.09521007537842,0,,
19:46:52:861,0.465257734060287,2.09521007537842,0,,
19:46:52:863,0.837463736534119,2.41754984855652,0,,
19:46:52:865,1.02356696128845,1.77286994457245,0,,
19:46:52:867,0.930515348911285,1.93403995037079,0,,
19:46:52:869,1.2096700668335,2.09521007537842,0,,
19:46:52:872,1.02356696128845,2.09521007537842,0,,
19:46:52:874,1.30272161960602,2.25638008117676,0,,
19:46:52:876,1.58187627792358,2.09521007537842,0,,
19:46:52:878,2.0471339225769,1.28936004638672,0,,
19:46:52:880,1.86103093624115,1.28936004638672,0,,
19:46:52:882,1.95408248901367,0.48350989818573,0,,
19:46:52:884,1.95408248901367,0.805850028991699,0,,
19:46:52:886,2.23323702812195,0.644680023193359,0,,
19:46:52:888,2.60544323921204,-0.644680142402649,0,,
19:46:52:890,2.41934013366699,0.967020034790039,0,,
19:46:52:891,2.14018559455872,0.805850028991699,0,,
19:46:52:894,2.32628870010376,0.483510136604309,0,,
19:46:52:895,1.95408248901367,0.48350989818573,0,,
19:46:52:897,2.0471339225769,-0.644680023193359,0,,
19:46:52:900,1.58187627792358,-1.12818992137909,0,,
19:46:52:903,0.744412362575531,0,0,,
19:46:52:905,1.11661851406097,-1.28936004638672,0,,
19:46:52:907,1.2096700668335,-1.12819004058838,0,,
19:46:52:909,0.930515468120575,-1.6117000579834,0,,
19:46:52:911,1.11661851406097,-1.93403995037079,0,,
19:46:52:913,1.39577317237854,-1.12818992137909,0,,
19:46:52:915,1.11661851406097,-1.93403995037079,0,,
19:46:52:917,0.837463915348053,-1.45053005218506,0,,
19:46:52:919,0.837463915348053,-2.41754984855652,0,,
19:46:52:920,0,-1.6117000579834,0,,
19:46:52:922,-0.186103090643883,-0.644680023193359,0,,
19:46:52:924,-0.744412362575531,-1.28936004638672,0,,
19:46:52:927,-0.744412362575531,-1.6117000579834,0,,
19:46:52:929,-1.2096700668335,-1.45052993297577,0,,
19:46:52:931,-1.39577305316925,-1.45052993297577,0,,
19:46:52:933,-1.02356696128845,-2.4175500869751,0,,
19:46:52:935,-1.30272161960602,-1.93404006958008,0,,
19:46:52:937,-1.2096700668335,-1.12819004058838,0,,
19:46:52:939,-1.67492783069611,-1.6117000579834,0,,
19:46:52:941,-1.95408248901367,-0.805850028991699,0,,
19:46:52:942,-2.23323702812195,-0.322340130805969,0,,
19:46:52:944,-2.0471339225769,0,0,,
19:46:52:946,-2.69849491119385,0.16117000579834,0,,
19:46:52:948,-2.41934013366699,0.322340130805969,0,,
19:46:52:950,-2.41934013366699,0.322340130805969,0,,
19:46:52:952,-2.69849491119385,-0.16117000579834,0,,
19:46:52:954,-1.67492783069611,1.28936004638672,0,,
19:46:52:956,-2.60544323921204,0.32234001159668,0,,
19:46:52:958,-2.5123918056488,0.805850148200989,0,,
19:46:52:961,-1.86103093624115,1.28936004638672,0,,
19:46:52:963,-2.32628870010376,0.805850028991699,0,,
19:46:52:965,-1.76797938346863,1.77287006378174,0,,
19:46:52:967,-1.2096700668335,2.4175500869751,0,,
19:46:52:968,-1.11661851406097,1.93403995037079,0,,
19:46:52:971,-0.558309257030487,1.6117000579834,0,,
19:46:52:973,-1.58187627792358,2.09521007537842,0,,
19:46:52:975,-2.0471339225769,3.5457398891449,0,,
19:46:52:977,-1.2096700668335,1.77286994457245,0,,
19:46:52:979,-1.39577317237854,3.06223011016846,0,,
19:46:52:980,-0.465257734060287,2.09521007537842,0,,
19:46:52:982,-0.186103016138077,1.6117000579834,0,,
19:46:52:984,0.558309257030487,2.57872009277344,0,,
19:46:52:986,0.744412243366241,2.25637984275818,0,,
19:46:52:988,0.837463736534119,2.41754984855652,0,,
19:46:52:990,0.651360869407654,3.06223011016846,0,,
19:46:52:992,0.837463915348053,2.09521007537842,0,,
19:46:52:994,1.2096700668335,3.06223011016846,0,,
19:46:52:996,1.2096700668335,2.4175500869751,0,,
19:46:52:998,0.930515468120575,2.25638008117676,0,,
19:46:53:000,1.39577317237854,1.77287006378174,0,,
19:46:53:002,1.76797938346863,1.12819004058838,0,,
19:46:53:004,1.67492783069611,1.28936004638672,0,,
19:46:53:006,2.60544323921204,-0.32234001159668,0,,
19:46:53:009,1.95408248901367,0.48350989818573,0,,
19:46:53:011,2.23323702812195,0.644680023193359,0,,
19:46:53:013,2.0471339225769,0.32233989238739,0,,
19:46:53:015,2.32628870010376,0.161170125007629,0,,
19:46:53:018,1.95408248901367,0.48350989818573,0,,
19:46:53:020,2.41934013366699,0.322340130805969,0,,
19:46:53:022,2.41934013366699,0.967020034790039,0,,
19:46:53:023,1.86103093624115,0.32233989238739,0,,
19:46:53:025,2.0471339225769,0,0,,
19:46:53:028,1.39577317237854,-1.12818992137909,0,,
19:46:53:030,1.11661851406097,-0.644680023193359,0,,
19:46:53:032,0.930515468120575,-1.28936004638672,0,,
19:46:53:034,1.11661851406097,-1.61169993877411,0,,
19:46:53:036,1.2096700668335,-2.09521007537842,0,,
19:46:53:038,1.2096700668335,-2.09521007537842,0,,
19:46:53:040,0.837463915348053,-0.805850028991699,0,,
19:46:53:042,1.02356684207916,-2.09521007537842,0,,
19:46:53:043,0.651360809803009,-1.77287006378174,0,,
19:46:53:045,-0.0930515453219414,-1.77287006378174,0,,
19:46:53:048,-0.372206211090088,-1.6117000579834,0,,
19:46:53:049,-0.744412362575531,-1.6117000579834,0,,
19:46:53:051,-0.930515468120575,-1.6117000579834,0,,
19:46:53:053,-1.48882472515106,-2.57872009277344,0,,
19:46:53:055,-1.39577317237854,-2.4175500869751,0,,
19:46:53:058,-1.2096700668335,-1.77286994457245,0,,
19:46:53:060,-1.48882472515106,-1.6117000579834,0,,
19:46:53:062,-1.67492783069611,-2.25638008117676,0,,
19:46:53:064,-1.48882472515106,-1.28935992717743,0,,
19:46:53:066,-1.39577317237854,0.16117000579834,0,,
19:46:53:068,-1.76797938346863,-0.48350989818573,0,,
19:46:53:070,-2.23323702812195,0.322340130805969,0,,
19:46:53:072,-2.23323702812195,0,0,,
19:46:53:074,-3.07070088386536,-0.48351001739502,0,,
19:46:53:076,-1.76797938346863,-0.48350989818573,0,,
19:46:53:078,-2.32628870010376,0.161170125007629,0,,
19:46:53:080,-2.14018535614014,-0.16117000579834,0,,
19:46:53:082,-2.41934013366699,0.967020034790039,0,,
19:46:53:083,-2.14018559455872,1.45053005218506,0,,
19:46:53:086,-1.95408248901367,0.48350989818573,0,,
19:46:53:088,-1.95408248901367,1.45053005218506,0,,
19:46:53:090,-1.86103093624115,1.6117000579834,0,,
19:46:53:092,-1.2096700668335,1.45052993297577,0,,
19:46:53:094,-1.48882472515106,1.93404006958008,0,,
19:46:53:096,-0.0930515453219414,-0.16117000579834,0,,
19:46:53:098,-1.48882472515106,2.25638008117676,0,,
19:46:53:100,-1.11661851406097,2.25638008117676,0,,
19:46:53:102,-1.48882472515106,2.57872009277344,0,,
19:46:53:104,-1.2096700668335,2.73989009857178,0,,
19:46:53:106,-0.930515468120575,2.90106010437012,0,,
19:46:53:107,-0.0930515453219414,2.4175500869751,0,,
19:46:53:109,0.0930515453219414,2.4175500869751,0,,
19:46:53:111,0.558309257030487,2.25638008117676,0,,
19:46:53:113,0.837463736534119,2.41754984855652,0,,
19:46:53:116,1.11661851406097,2.25638008117676,0,,
19:46:53:117,1.02356696128845,3.06223011016846,0,,
19:46:53:119,1.2096700668335,2.73989009857178,0,,
19:46:53:121,1.02356696128845,2.4175500869751,0,,
19:46:53:124,1.48882472515106,2.90106010437012,0,,
19:46:53:125,1.58187627792358,1.45053005218506,0,,
19:46:53:127,2.0471339225769,0.967020034790039,0,,
19:46:53:130,2.0471339225769,1.28936004638672,0,,
19:46:53:133,2.0471339225769,1.28936004638672,0,,
